Date,USD/TWD,USD/MYR,MYR/TWD,TWD/MYR
2026-04-27 14:25:39,31.465,3.87,8.13049,0.12299
2026-04-28 09:25:38,31.535,3.87,8.14858,0.12272
2026-04-28 14:27:03,31.62,3.8587,8.19447,0.12203
2026-04-29 09:28:47,31.64,3.8587,8.19965,0.12196
2026-04-29 14:20:58,31.62,3.8582,8.19553,0.12202
2026-04-30 09:27:16,31.68,3.8582,8.21108,0.12179
2026-04-30 14:25:35,31.71,3.8675,8.1991,0.12196
2026-05-01 09:29:57,31.725,3.8675,8.20297,0.12191
2026-05-01 14:34:24,31.725,3.8675,8.20297,0.12191
2026-05-02 09:21:25,31.725,3.8675,8.20297,0.12191
2026-05-02 14:04:45,31.725,3.8675,8.20297,0.12191
2026-05-03 09:24:18,31.725,3.8675,8.20297,0.12191
2026-05-03 14:24:37,31.725,3.8675,8.20297,0.12191
2026-05-04 09:23:45,31.615,3.8675,8.17453,0.12233
2026-05-04 14:36:14,31.65,3.8675,8.18358,0.1222
2026-05-05 09:23:27,31.7,3.8675,8.19651,0.122
2026-05-05 14:12:55,31.655,3.8709,8.17768,0.12228
2026-05-06 09:21:10,31.58,3.8709,8.15831,0.12257
2026-05-06 14:27:37,31.53,3.8607,8.16691,0.12245
2026-05-07 09:26:36,31.44,3.8607,8.1436,0.1228
2026-05-07 14:32:26,31.445,3.8319,8.20611,0.12186
2026-05-08 09:29:39,31.465,3.8319,8.21133,0.12178
2026-05-08 13:54:22,31.43,3.8255,8.21592,0.12171
2026-05-09 09:27:09,31.5,3.8255,8.23422,0.12144
2026-05-09 14:12:48,31.5,3.8255,8.23422,0.12144
2026-05-10 09:28:31,31.5,3.8255,8.23422,0.12144
2026-05-10 14:31:04,31.5,3.8255,8.23422,0.12144
2026-05-11 09:46:37,31.47,3.8255,8.22638,0.12156
2026-05-11 15:38:03,31.46,3.828,8.21839,0.12168
2026-05-12 09:28:31,31.455,3.828,8.21708,0.1217
2026-05-12 14:34:15,31.58,3.8314,8.24242,0.12132
2026-05-13 09:47:32,31.58,3.8314,8.24242,0.12132
2026-05-13 14:45:24,31.57,3.8397,8.222,0.12162
2026-05-14 09:50:05,31.565,3.8397,8.22069,0.12164
2026-05-14 14:43:49,31.565,3.8353,8.23013,0.1215
2026-05-15 09:48:02,31.59,3.847,8.21159,0.12178
2026-05-15 14:52:59,31.58,3.847,8.20899,0.12182
2026-05-16 09:27:54,31.61,3.847,8.21679,0.1217
2026-05-16 14:19:31,31.61,3.847,8.21679,0.1217
2026-05-17 09:44:52,31.61,3.847,8.21679,0.1217
2026-05-17 14:42:00,31.61,3.847,8.21679,0.1217
2026-05-18 09:53:35,31.665,3.847,8.23109,0.12149
2026-05-18 15:58:58,31.6,3.8719,8.16137,0.12253
2026-05-19 09:53:52,31.66,3.8719,8.17686,0.1223
2026-05-19 15:42:14,31.72,3.8773,8.18095,0.12224
2026-05-20 09:53:22,31.74,3.8773,8.18611,0.12216
2026-05-20 15:40:20,31.71,3.888,8.15586,0.12261
2026-05-21 09:52:27,31.64,3.8661,8.18396,0.12219
2026-05-21 15:45:42,31.66,3.8661,8.18913,0.12211
2026-05-22 09:54:02,31.62,3.8651,8.1809,0.12224
2026-05-22 15:40:49,31.6,3.8651,8.17573,0.12231
2026-05-23 09:45:27,31.62,3.8651,8.1809,0.12224
2026-05-23 14:32:03,31.62,3.8651,8.1809,0.12224
2026-05-24 09:51:17,31.62,3.8651,8.1809,0.12224
2026-05-24 14:56:34,31.62,3.8651,8.1809,0.12224
2026-05-25 09:57:26,31.47,3.8651,8.14209,0.12282
2026-05-25 16:17:27,31.52,3.8553,8.17576,0.12231
2026-05-26 09:49:50,31.505,3.8553,8.17187,0.12237
2026-05-26 15:41:23,31.485,3.8631,8.15019,0.1227
2026-05-27 09:57:51,31.46,3.8631,8.14372,0.12279
2026-05-27 15:59:23,31.46,3.8631,8.14372,0.12279
2026-05-28 09:29:29,31.46,3.8631,8.14372,0.12279
2026-05-28 15:54:14,31.455,3.8792,8.10863,0.12333
2026-05-29 09:51:12,31.405,3.8792,8.09574,0.12352
2026-05-29 15:52:05,31.395,3.8748,8.10235,0.12342
2026-05-30 09:47:01,31.425,3.8748,8.1101,0.1233
2026-05-30 14:42:50,31.425,3.8748,8.1101,0.1233
2026-05-31 09:58:29,31.425,3.8748,8.1101,0.1233
2026-05-31 15:42:04,31.425,3.8748,8.1101,0.1233
2026-06-01 10:06:51,31.375,3.8748,8.09719,0.1235
2026-06-01 17:22:07,31.445,3.8748,8.11526,0.12322
2026-06-02 10:08:05,31.435,3.8748,8.11268,0.12326
2026-06-03 10:15:48,31.465,3.8831,8.10306,0.12341
2026-06-03 16:51:28,31.5,3.8831,8.11208,0.12327
2026-06-05 09:58:18,31.535,3.9251,8.03419,0.12447
2026-06-05 16:03:27,31.525,3.9251,8.03164,0.12451
2026-06-06 14:50:07,31.55,3.9251,8.03801,0.12441
2026-06-07 10:03:18,31.55,3.9251,8.03801,0.12441
2026-06-07 15:51:35,31.55,3.9251,8.03801,0.12441
2026-06-08 10:08:03,31.675,3.9666,7.98543,0.12523
2026-06-08 16:50:22,31.655,3.9666,7.98039,0.12531
2026-06-09 09:46:13,31.67,3.9666,7.98417,0.12525
2026-06-09 15:43:13,31.705,3.9764,7.97329,0.12542
2026-06-10 09:56:46,31.695,3.9764,7.97078,0.12546
2026-06-10 16:04:10,31.72,3.971,7.98791,0.12519
2026-06-11 10:08:13,31.785,3.9783,7.98959,0.12516
2026-06-11 16:42:15,31.705,3.9783,7.96948,0.12548
2026-06-12 10:03:59,31.7,3.9598,8.00545,0.12491
2026-06-12 16:21:29,31.68,3.9598,8.0004,0.12499
2026-06-13 09:57:31,31.695,3.9598,8.00419,0.12493
2026-06-14 10:06:54,31.695,3.9598,8.00419,0.12493
2026-06-15 10:11:06,31.585,3.9598,7.97641,0.12537
2026-06-15 17:59:42,31.635,3.9471,8.01475,0.12477
2026-06-16 10:15:02,31.625,3.9471,8.01221,0.12481
2026-06-16 17:22:36,31.645,3.9574,7.99641,0.12506
2026-06-17 10:10:19,31.62,3.9574,7.99009,0.12515
2026-06-17 16:59:27,31.65,3.9574,7.99768,0.12504
2026-06-18 10:08:34,31.62,3.9574,7.99009,0.12515
2026-06-18 16:41:39,31.655,3.991,7.9316,0.12608
2026-06-19 10:35:48,31.655,3.991,7.9316,0.12608
2026-06-19 17:04:01,31.655,4.023,7.86851,0.12709
2026-06-20 09:58:21,31.655,4.023,7.86851,0.12709
2026-06-20 15:46:59,31.655,4.023,7.86851,0.12709
2026-06-21 10:09:49,31.655,4.023,7.86851,0.12709
2026-06-21 16:26:29,31.655,4.023,7.86851,0.12709
2026-06-22 10:13:35,31.665,4.0474,7.82354,0.12782
2026-06-22 17:45:28,31.715,4.0474,7.83589,0.12762
2026-06-23 09:52:21,31.66,4.0474,7.82231,0.12784
2026-06-23 15:43:52,31.685,4.0543,7.81516,0.12796
2026-06-24 09:50:33,31.72,4.0543,7.82379,0.12782
2026-06-24 15:36:26,31.84,4.0528,7.8563,0.12729
2026-06-25 09:54:38,31.89,4.0528,7.86863,0.12709
2026-06-25 15:39:05,31.9,4.042,7.89213,0.12671
2026-06-26 09:56:34,31.9,4.042,7.89213,0.12671
2026-06-26 15:46:59,31.97,4.0332,7.92671,0.12616
2026-06-27 09:50:00,31.935,4.0332,7.91803,0.12629
2026-06-27 14:49:55,31.935,4.0332,7.91803,0.12629
2026-06-28 09:59:48,31.935,4.0332,7.91803,0.12629
2026-06-28 15:47:33,31.935,4.0332,7.91803,0.12629
2026-06-29 10:01:21,31.955,4.0332,7.92299,0.12621
2026-06-29 16:55:07,31.935,3.9981,7.98754,0.12519
2026-07-07 17:53:24,32.26,3.9868,8.0917,0.12358,Cathay
2026-07-08 09:15:49,32.23,3.9868,8.08418,0.1237,Cathay
2026-07-08 14:24:26,32.12,3.9878,8.05457,0.12415,Cathay
2026-07-09 09:23:49,32.15,3.9878,8.06209,0.12404,Cathay
2026-07-09 15:33:41,32.25,3.9834,8.0961,0.12352,Cathay
2026-07-10 09:20:50,32.29,3.9834,8.10614,0.12336,Cathay
2026-07-10 15:31:48,32.24,3.9834,8.09359,0.12355,Cathay
2026-07-11 09:14:36,32.24,3.9834,8.09359,0.12355,Cathay
2026-07-11 14:09:42,32.24,3.9834,8.09359,0.12355,Cathay
2026-07-12 09:16:20,32.24,3.9834,8.09359,0.12355,Cathay
2026-07-12 14:29:39,32.24,3.9834,8.09359,0.12355,Cathay
2026-07-13 09:17:10,32.18,3.9834,8.07853,0.12378,Cathay
2026-07-13 14:49:46,32.21,3.9834,8.08606,0.12367,Cathay
2026-07-14 09:07:20,32.26,3.9834,8.09861,0.12348,Cathay
